Reference,Reference_Alternative,Reason_for_Exclusion,Notes,Occurrences
"Ennen, J. R., Lovich, J. E., Averill-Murray, R. C., Yackulic, C. B., Agha, M., Loughran, C., Tennant, L., & Sinervo, B. (2017). The evolution of different maternal investment strategies in two closely related desert vertebrates. Ecology and Evolution, 7(9), 3177-3189.",NA,No hatchling sex ratio data,NA,2
"Erickson, J., Farias, I. P., & Zuanon, J. (2020). The life history of the yellow-spotted Amazon River turtle (Podocnemis unifilis) as told from the nests. Salamandra, 56(4), 296-308.",NA,No hatchling sex ratio data,NA,3
"Esquerré, D., Keogh, J. S., & Schwanz, L. E. (2014). Direct effects of incubation temperature on morphology, thermoregulatory behaviour and locomotor performance in jacky dragons (Amphibolurus muricatus). Journal of Thermal Biology, 43, 33-39.",NA,Squamate,NA,1
"Estes, J., Wibbels, T., & Balazs, G. (2003). Evaluation of incubation temperatures in green turtle nests at French Frigate Shoals, northwest Hawaiian Islands. Integrative and Comparative Biology, 43(6), 806.",NA,No hatchling sex ratio data,NA,2
"Etchberger, C. R. (1993). The effects of incubation temperature and clutch on post-hatching growth in the loggerhead musk turtle, Sternotherus minor minor. American Zoologist, 33(5), 41A.",NA,No hatchling sex ratio data,NA,2
"Etchberger, C. R., Ewert, M. A., Phillips, J. B., Nelson, C. E., & Prange, H. D. (1993). Environmental and maternal influences on embryonic pigmentation in a turtle (Trachemys scripta elegans). Journal of Zoology, 230(4), 529-539.",NA,No hatchling sex ratio data,NA,2
"Ewert, M. A., & Nelson, C. E. (2003). Metabolic heating of embryos and sex determination in the American alligator, Alligator mississippiensis. Journal of Thermal Biology, 28(2), 159-165.",NA,Crocodilian,NA,2
"Ferreira Júnior, P. D. (2009). Ecological aspects of turtle sex determination. Acta Amazonica, 39(1), 139-154.","Ferreira Júnior, P. D. (2009). Aspectos ecológicos da determinação sexual em tartarugas. Acta Amazonica, 39(1), 139-154.",No new data,NA,1
"Ferreira Júnior, P. D. (2009). Environmental factors effects in turtles reproduction. Acta Amazonica, 39(2), 319-334.","Ferreira Júnior, P. D. (2009). Efeitos de fatores ambientais na reprodução de tartarugas. Acta Amazonica, 39(2), 319-334.",No new data,NA,1
"Ferreira Júnior, P. D., & Castro, P. T. A. (2005). Nest placement of the giant Amazon river turtle, Podocnemis expansa, in the Araguaia River, Goiás State, Brazil. Ambio, 34(3), 212-217.",NA,No hatchling sex ratio data,NA,2
"Ferreira Júnior, P. D., & Castro, P. T. A. (2010). Nesting ecology of Podocnemis expansa (Schweigger, 1812) and Podocnemis unifilis (Troschel, 1848)(Testudines, Podocnemididae) in the Javaés River, Brazil. Brazilian Journal of Biology, 70(1), 85-94.","Ferreira Júnior, P. D., & Castro, P. T. A. (2010). Ecologia reprodutiva de Podocnemis expansa (Schweigger, 1812) e Podocnemis unifilis (Troschel, 1848) (Testudines, Podocnemididae) no Rio Javaés, Brasil. Brazilian Journal of Biology, 70(1), 85-94.",No hatchling sex ratio data,NA,3
"Flatt, T., Shine, R., Borges-Landaez, P. A., & Downes, S. J. (2001). Phenotypic variation in an oviparous montane lizard (Bassiana duperreyi): The effects of thermal and hydric incubation environments. Biological Journal of the Linnean Society, 74(3), 339-350.",NA,Squamate,NA,2
"Fleming, A., Wibbels, T., Skipper, J. K., & Crews, D. (1999). Developmental expression of steroidogenic factor 1 in a turtle with temperature-dependent sex determination. General and Comparative Endocrinology, 116(3), 336-346.",NA,No hatchling sex ratio data,NA,2
"Foley, A. M., Peck, S. A., Harman, G. R., & Richardson, L. W. (2000). Loggerhead turtle (Caretta caretta) nesting habitat on low-relief mangrove islands in southwest Florida and consequences to hatchling sex ratios. Herpetologica, 56(4), 433-445.",NA,No hatchling sex ratio data,NA,2
"Foley, A. M., Singel, K. E., Dutton, P. H., Summers, T. M., Redlow, A. E., & Lessman, J. (2007). Characteristics of a green turtle (Chelonia mydas) assemblage in northwestern Florida determined during a hypothermic stunning event. Gulf of Mexico Science, 25(2), 131-143.",NA,No hatchling sex ratio data,NA,4
"Francis, E. A., Moldowan, P. D., Greischar, M. A., & Rollinson, N. (2019). Anthropogenic nest sites provide warmer incubation environments than natural nest sites in a population of oviparous reptiles near their northern range limit. Oecologia, 190(3), 511-522.",NA,No hatchling sex ratio data,NA,2
"Freedberg, S., & Bowne, D. R. (2006). Monitoring juveniles across years reveals non-Fisherian sex ratios in a reptile with environmental sex determination. Evolutionary Ecology Research, 8(8), 1499-1510.",NA,No hatchling sex ratio data,NA,2
"Freedberg, S., & Wade, M. J. (2001). Cultural inheritance as a mechanism for population sex-ratio bias in reptiles. Evolution, 55(5), 1049-1055.",NA,No new data,NA,2
"Freedberg, S., Ewert, M. A., & Nelson, C. E. (2001). Environmental effects on fitness and consequences for sex allocation in a reptile with environmental sex determination. Evolutionary Ecology Research, 3(8), 953-967.",NA,No hatchling sex ratio data,NA,3
"Freedberg, S., Greives, T. J., Ewert, M. A., Demas, G. E., Beecher, N., & Nelson, C. E. (2008). Incubation environment affects immune system development in a turtle with environmental sex determination. Journal of Herpetology, 42(3), 536-541.",NA,No hatchling sex ratio data,NA,3
"Freedberg, S., Stumpf, A. L., Ewert, M. A., & Nelson, C. E. (2004). Developmental environment has long-lasting effects on behavioural performance in two turtles with environmental sex determination. Evolutionary Ecology Research, 6(5), 739-747.",NA,No hatchling sex ratio data,NA,3
"Fuentes, M. M. P. B., & Porter, W. P. (2013). Using a microclimate model to evaluate impacts of climate change on sea turtles. Ecological Modelling, 251, 150-157.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Fuentes, M. M. P. B., Hamann, M., & Limpus, C. J. (2010). Past, current and future thermal profiles of green turtle nesting grounds: Implications from climate change. Journal of Experimental Marine Biology and Ecology, 383(1), 56-64.",NA,No hatchling sex ratio data,NA,2
"Fuentes, M. M. P. B., Monsinjon, J., Lopez, M., Lara, P., Santos, A., dei Marcovaldi, M. A. G., & Girondot, M. (2017). Sex ratio estimates for species with temperature-dependent sex determination differ according to the proxy used. Ecological Modelling, 365, 55-67.",NA,No new data,NA,3
"Gabriel, W. N., Blumberg, B., Sutton, S., Place, A. R., & Lance, V. A. (2001). Alligator aromatase cDNA sequence and its expression in embryos at male and female incubation temperatures. Journal of Experimental Zoology, 290(5), 439-448.",NA,Crocodilian,NA,1
"Gahr, M., Wibbels, T., & Crews, D. (1992). Sites of estrogen uptake in embryonic Trachemys scripta, a turtle with temperature-dependent sex determination. Biology of Reproduction, 46(3), 458-463.",NA,No hatchling sex ratio data,NA,2
"Gammon, M., Fossette, S., McGrath, G., & Mitchell, N. (2020). A systematic review of metabolic heat in sea turtle nests and methods to model its impact on hatching success. Frontiers in Ecology and Evolution, 8, 283.",NA,No new data,NA,9
"Ganesh, S., & Raman, R. (1995). Sex reversal by testosterone and not by estradiol or temperature in Calotes versicolor, the lizard lacking sex chromosomes. Journal of Experimental Zoology, 271(2), 139-144.",NA,Squamate,NA,1
"Gans, C. (1993). On the merits of adequacy. American Journal of Science, 293A, 391-406.",NA,No hatchling sex ratio data,NA,1
"Garcés-Restrepo, M. F., Rivera-Domínguez, N., Giraldo, A., & Carr, J. L. (2017). Reproductive aspects of the Chocoan River turtle (Rhinoclemmys nasuta, Geoemydidae) along the Colombian Pacific coast. Amphibia-Reptilia, 38(3), 351-361.",NA,No hatchling sex ratio data,NA,3
"García-Grajales, J., Meraz Hernando, J. F., Arcos García, J. L., & Ramírez Fuentes, E. (2019). Incubation temperatures, sex ratio and hatching success of leatherback turtles (Dermochelys coriacea) in two protected hatcheries on the central Mexican coast of the Eastern Tropical Pacific Ocean. Animal Biodiversity and Conservation, 42(1), 143-152.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Gatto, C. R., & Reina, R. D. (2020). Sea turtle hatchling locomotor performance: incubation moisture effects, ontogeny and species-specific patterns. Journal of Comparative Physiology B, 190(6), 779-793.",NA,No hatchling sex ratio data,NA,6
"Geis, A. A., Wibbels, T., Garduno-D., M., Marquez-M., R., Burchfield, P., & Schroeder, B. (2002). Evaluation of Kemp's ridley hatchling sex ratios within egg corral and in situ nests at the primary nesting beach. Integrative and Comparative Biology, 42(6), 1234.",NA,No hatchling sex ratio data,NA,2
"Geis, A., Barichivich, J., & Wibbels, T. (2001). Use of a testosterone RIA to estimate the sex ratio of juvenile Kemp's ridleys at Cedar Key, Florida. American Zoologist, 41(6), 1451.",NA,No hatchling sex ratio data,NA,2
"Geis, A., Wibbels, T., Marquez, M. R., Garduño-D, M., Burchfield, P., & Peña-V, J. (2000). Evaluation of hatchling Kemp's Ridley sex ratios using nest incubation temperatures at Rancho Nuevo, Mexico. American Zoologist, 40(6), 1026-1027.",NA,No hatchling sex ratio data,NA,2
"Geis, A., Wibbels, T., Márquez-M, R., Garduno-D, M., Burchfield, P., Pena-V, J., Schroeder, B., Quintero, A. S., Ortiz, J., & Molina, G. H. (2003). Evaluation of sex ratios in egg corral and in situ nests during the 2001 Kemp's ridley nesting season. In J. A. Seminoff (Eds.), Proceedings of the twenty-second annual symposium on sea turtle biology and conservation (pp. 188-189). NOAA Technical Memorandum NMFS-SEFSC-503.",NA,Estimated hatchling sex ratios with temperature data,NA,1
"Geis, A., Wibbels, T., Vega, L., Lira, D., Acosta, R., Pena, J., Burchfield, P., & Schroeder, B. (2003). Estimation of hatchling sex ratios during the 2003 Kemp's ridley nesting season. Integrative and Comparative Biology, 43(6), 1024.",NA,No hatchling sex ratio data,NA,2
"Georges, A. (1989). Female turtles from hot nests: Is it duration of incubation or proportion of development at high temperatures that matters? Oecologia, 81(3), 323-328.",NA,No new data,NA,1
"Georges, A., Beggs, K., Young, J. E., & Doody, J. S. (2005). Modelling development of reptile embryos under fluctuating temperature regimes. Physiological and Biochemical Zoology, 78(1), 18-30.",NA,No hatchling sex ratio data,NA,5
"Georges, A., Ezaz, T., Quinn, A. E., & Sarre, S. D. (2010). Are reptiles predisposed to temperature-dependent sex determination? Sexual Development, 4(1-2), 7-15.",NA,No hatchling sex ratio data,NA,1
"Georges, A., Guarino, F., & White, M. (2006). Sex-ratio bias across populations of a freshwater turtle (Testudines: Chelidae) with genotypic sex determination. Wildlife Research, 33(6), 475-480.",NA,No hatchling sex ratio data,NA,3
"Georges, A., Spencer, R. J., Kilian, A., Welsh, M., & Zhang, X. (2018). Assault from all sides: Hybridization and introgression threaten the already critically endangered Myuchelys georgesi (Chelonia: Chelidae). Endangered Species Research, 37, 239-247.",NA,No hatchling sex ratio data,NA,5
"Gerhartz-Muro, J. L., Azanza, J., Moncada, F., Gerhartz-Abraham, A., Espinosa, L., Forniero, Y., & Chacón, D. (2018). Sand and incubation temperatures in a sea turtle nesting beach at the Cayos de San Felipe National Park, Pinar del Río, Cuba, during the 2012-2013 season. Revista de Investigaciones Marinas , 38(2), 100-116.","Gerhartz-Muro, J. L., Azanza, J., Moncada, F., Gerhartz-Abraham, A., Espinosa, L., Forniero, Y., & Chacón, D. (2018). Temperatura de la arena y de incubación en una playa de anidación de tortugas marinas en el Parque Nacional Cayos de San Felipe, Pinar del Río, Cuba, durante la temporada 2012-2013. Revista de Investigaciones Marinas , 38(2), 100-116.",No hatchling sex ratio data,NA,4
"Gibbons, J. W. (1983). Reproductive characteristics and ecology of the mud turtle, Kinosternon subrubrum (Lacepede). Herpetologica, 39(3), 254-271.",NA,No hatchling sex ratio data,NA,2
"Girondot, M. (1999). Statistical description of temperature-dependent sex determination using maximum likelihood. Evolutionary Ecology Research, 1(4), 479-486.",NA,No new data,NA,3
"Girondot, M. (2013). Importance of modeling in sea turtle studies. Munibe Monographs Nature Series, 1, 83-87.",NA,No new data,NA,4
"Girondot, M., & Kaska, Y. (2014). A model to predict the thermal reaction norm for the embryo growth rate from field data. Journal of Thermal Biology, 45, 96-102.",NA,No hatchling sex ratio data,NA,2
"Girondot, M., & Pieau, C. (1996). On the limits of the age-structured models for the maintenance of environmental sex determination in crocodilians. Annales des Sciences Naturelles - Zoologie et Biologie Animale, 17(2), 85-97.","Girondot, M., & Pieau, C. (1996). Limites des modèles de structuration en âge pour le maintien de la détermination du sexe sensible à des facteurs de l'environnement chez les crocodiliens. Annales des Sciences Naturelles - Zoologie et Biologie Animale, 17(2), 85-97.",Crocodilian,NA,1
"Girondot, M., Delmas, V., & Prevot-Julliard, A. C. (2012). Nouvelles données sur la ponte de la tortue de Floride (Trachemys scripta elegans) en Île-de-France. Bulletin de la Société herpétologique de France, (142-43), 71-78.",NA,No access,Likely no sex ratio data,2
"Girondot, M., Fouillet, H., & Pieau, C. (1998). Feminizing turtle embryos as a conservation tool. Conservation Biology, 12(2), 353-362.","Girondot, M., Fouillet, H., & Pieau, C. (1998). Feminización de embriones de tortugas como una herramienta de conservación. Conservation Biology, 12(2), 353-362.",No hatchling sex ratio data,NA,2
"Girondot, M., Hassine, S. B., Sellos, C., Godfrey, M., & Guillon, J.-M. (2010). Modeling thermal influence on animal growth and sex determination in reptiles: Being closer to the target gives new views. Sexual Development, 4(1-2), 29-38.",NA,No new data,NA,3
"Girondot, M., Monsinjon, J., & Guillon, J.-M. (2018). Delimitation of the embryonic thermosensitive period for sex determination using an embryo growth model reveals a potential bias for sex ratio prediction in turtles. Journal of Thermal Biology, 73, 32-40.",NA,No new data,NA,5
"Girondot, M., Zaborski, P., Servan, J., & Pieau, C. (1994). Genetic contribution to sex determination in turtles with environmental sex determination. Genetics Research, 63(2), 117-127.",NA,No hatchling sex ratio data,NA,3
"Godfrey, M. H., Barreto, R., & Mrosovsky, N. (1997). Metabolically-generated heat of developing eggs and its potential effect on sex ratio of sea turtle hatchlings. Journal of Herpetology, 31(4), 616-619.",NA,No hatchling sex ratio data,NA,3
"Godfrey, M. H., Delmas, V., & Girondot, M. (2003). Assessment of patterns of temperature-dependent sex determination using maximum likelihood model selection. Ecoscience, 10(3), 265-272.",NA,No new data,NA,3
"Godfrey, M. H., Ghizoni, I. R., Jr., Santos, A. S. (2002). Continued thermal monitoring of Praia Do Forte, Bahia, Brazil. In A. Mosier, A. Foley, & B. Brost (Eds.), Proceedings of the twentieth annual symposium on sea turtle biology and conservation (pp. 166-169). NOAA Technical Memorandum NMFS-SEFSC-477.",NA,No hatchling sex ratio data,NA,2
"Godley, B. J., Broderick, A. C., & Mrosovsky, N. (2001). Estimating hatchling sex ratios of loggerhead turtles in Cyprus from incubation durations. Marine Ecology Progress Series, 210, 195-201.",NA,Estimated hatchling sex ratios with incubation length data,NA,2
"Godley, B. J., Broderick, A. C., Downie, J. R., Glen, F., Houghton, J. D., Kirkwood, I., Reece, S., & Hays, G. C. (2001). Thermal conditions in nests of loggerhead turtles: Further evidence suggesting female skewed sex ratios of hatchling production in the Mediterranean. Journal of Experimental Marine Biology and Ecology, 263(1), 45-63.",NA,No hatchling sex ratio data,NA,2
"Gómez-Picos, P., Sifuentes-Romero, I., Merchant-Larios, H., Hernández-Cornejo, R., Díaz-Hernández, V., & García-Gasca, A. (2015). Expression of aromatase in the embryonic brain of the olive ridley sea turtle (Lepidochelys olivacea), and the effect of bisphenol-A in sexually differentiated embryos. International Journal of Developmental Biology, 58(10-11-12), 733-741.",NA,No hatchling sex ratio data,NA,2
"González, E. J., Martínez-López, M., Morales-Garduza, M. A., García-Morales, R., Charruau, P., & Gallardo-Cruz, J. A. (2019). The sex-determination pattern in crocodilians: A systematic review of three decades of research. Journal of Animal Ecology, 88(9), 1417-1427.",NA,Crocodilian,NA,1
"Gonzalez, J. E., & Janzen, F. J. (2002). Inheritance of nest-site choice in the field in a turtle with temperature-dependent sex determination. Integrative and Comparative Biology, 42(6), 1236.",NA,No hatchling sex ratio data,NA,2
"Grüebler, M. U., Schuler, H., Müller, M., Spaar, R., Horch, P., & Naef-Daenzer, B. (2008). Female biased mortality caused by anthropogenic nest loss contributes to population decline and adult sex ratio of a meadow bird. Biological Conservation, 141(12), 3040-3049.",NA,Bird,NA,1
"Gu, H.-X., Xa, Z.-R., Li, P.-P., Duan, J.-X., Ye, M.-B., Zhang, F.-Y., Chen, H.-L., Lin, R.-J. (2010). Sex identification and pivotal temperature for sex determination in hatchling green sea turtle. Chinese Journal of Zoology, 45(4), 81-88.","古河祥, 夏中荣, 李丕鹏, 端金霞, 叶明彬, 张飞燕, 陈华灵, & 林日锦. (2010). 绿海龟稚龟性别鉴定及临界温度. 动物学杂志, 45(4), 81-88.",No new data,NA,2
"Gutiérrez-Ospina, G., Jiménez-Trejo, F. J., Favila, R., Moreno-Mendoza, N. A., Rojas, L. G., Barrios, F. A., Díaz-Cintra, S., & Merchant-Larios, H. (1999). Acetylcholinesterase-positive innervation is present at undifferentiated stages of the sea turtle Lepidochelis olivacea embryo gonads: Implications for temperature-dependent sex determination. Journal of Comparative Neurology, 410(1), 90-98.",NA,No hatchling sex ratio data,NA,4
"Hanson, J., Wibbels, T., & Martin, R. E. (1998). Predicted female bias in sex ratios of hatchling loggerhead sea turtles from a Florida nesting beach. Canadian Journal of Zoology, 76(10), 1850-1861.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Hansson, A., & Olsson, M. (2018). Incubation temperature and parental identity determine sex in the Australian agamid lizard Ctenophorus pictus. Ecology and Evolution, 8(19), 9827-9833.",NA,Squamate,NA,1
"Hare, K. M., Daugherty, C. H., & Cree, A. (2002). Incubation regime affects juvenile morphology and hatching success, but not sex, of the oviparous lizard Oligosoma suteri (Lacertilia: Scincidae). New Zealand Journal of Zoology, 29(3), 221-229.",NA,Squamate,NA,1
"Harlow, P. S. (2000). Incubation temperature determines hatchling sex in Australian rock dragons (Agamidae: Genus Ctenophorus). Copeia, 2000(4), 958-964.",NA,Squamate,NA,1
"Harlow, P. S., & Shine, R. (1999). Temperature-dependent sex determination in the frillneck lizard, Chlamydosaurus kingii (Agamidae). Herpetologica, 55(2), 205-212.",NA,Squamate,NA,2
"Harlow, P. S., & Taylor, J. E. (2000). Reproductive ecology of the jacky dragon (Amphibolurus muricatus): An agamid lizard with temperature-dependent sex determination. Austral Ecology, 25(6), 640-652.",NA,Squamate,NA,1
"Harms, C. A., McClellan-Green, P., Godfrey, M. H., Christiansen, E. F., Broadhurst, H. J., & Godard-Codding, C. A. J. (2019). Crude oil and dispersant cause acute clinicopathological abnormalities in hatchling loggerhead sea turtles (Caretta caretta). Frontiers in Veterinary Science, 6, 344.",NA,No hatchling sex ratio data,NA,2
"Harry, J. L., Williams, K. L., & Briscoe, D. A. (1990). Sex determination in loggerhead turtles: Differential expression of two hnRNP proteins. Development, 109(2), 305-312.",NA,No hatchling sex ratio data,"Gonads examined after TSP, but numbers not provided",2
"Harvey, P. H., & Slatkin, M. (1982). Some like it hot: Temperature-determined sex. Nature, 296(5860), 807-808.",NA,No new data,NA,1
"Hawkes, L. A., Bliemsrieder, M., Drews, C., & Fish, M. (2011). Understanding the impact of climate change on marine turtles. Mesoamericana, 15(3), 63-68.",NA,No access,Likely no sex ratio data,1
"Hawkes, L. A., Broderick, A. C., Godfrey, M. H., & Godley, B. J. (2007). Investigating the potential impacts of climate change on a marine turtle population. Global Change Biology, 13(5), 923-932.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Hawkes, L. A., McGowan, A., Godley, B. J., Gore, S., Lange, A., Tyler, C. R., Wheatley, D., White, J., Witt, M. J., & Broderick, A. C. (2013). Estimating sex ratios in Caribbean hawksbill turtles: Testosterone levels and climate effects. Aquatic Biology, 18(1), 9-19.",NA,No hatchling sex ratio data,NA,3
"Hays, G. C., Ashworth, J. S., Barnsley, M. J., Broderick, A. C., Emery, D. R., Godley, B. J., Henwood, A., & Jones, E. L. (2001). The importance of sand albedo for the thermal conditions on sea turtle nesting beaches. Oikos, 93(1), 87-94.",NA,No hatchling sex ratio data,NA,2
"Hays, G. C., Broderick, A. C., Glen, F., & Godley, B. J. (2003). Climate change and sea turtles: A 150-year reconstruction of incubation temperatures at a major marine turtle rookery. Global Change Biology, 9(4), 642-646.",NA,No hatchling sex ratio data,NA,2
"Hays, G. C., Godley, B. J., & Broderick, A. C. (1999). Long-term thermal conditions on the nesting beaches of green turtles on Ascension Island. Marine Ecology Progress Series, 185, 297-299.",NA,No hatchling sex ratio data,NA,4
"Hays, G. C., Mazaris, A. D., Schofield, G., & Laloë, J.-O. (2017). Population viability at extreme sex-ratio skews produced by temperature-dependent sex determination. Proceedings of the Royal Society B, 284(1848), 20162576.",NA,No new data,NA,1
"Hernandez-Divers, S. J., Mackey, E., Stahl, S. J., & Hernandez-Divers, S. M. (2008). Endoscopic determination of gender in neonate and juvenile chelonians. Proceedings of the Association of Reptilian and Amphibian Veterinarians, 15th Annual Conference, Los Angeles, California, USA, 12-15 October, 2008.",NA,No access,Likely no sex ratio data,1
"Hewavisenthi, S., & Parmenter, C. J. (2002). Incubation environment and nest success of the flatback turtle (Natator depressus) from a natural nesting beach. Copeia, 2002(2), 302-312.",NA,No hatchling sex ratio data,NA,5
"Homyack, J. A., Haas, C. A., & Hopkins, W. A. (2010). Influence of temperature and body mass on standard metabolic rate of eastern red-backed salamanders (Plethodon cinereus). Journal of Thermal Biology, 35(3), 143-146.",NA,Salamander,NA,2
"Horne, C. R., Fuller, W. J., Godley, B. J., Rhodes, K. A., Snape, R., Stokes, K. L., & Broderick, A. C. (2014). The effect of thermal variance on the phenotype of marine turtle offspring. Physiological and Biochemical Zoology, 87(6), 796-804.",NA,No hatchling sex ratio data,NA,2
"Hostache, G., Pascal, M., & Tessier, C. (1995). Influence de la température d'incubation sur le rapport mâle:femelle chez l'atipa, Hoplosternum littorale Hancock (1828). Canadian Journal of Zoology, 73(7), 1239-1246.",NA,Fish,NA,1
"Houghton, J. D. R., & Hays, G. C. (2001). Asynchronous emergence by loggerhead turtle (Caretta caretta) hatchlings. Naturwissenschaften, 88(3), 133-136.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Houghton, J. D. R., Myers, A. E., Lloyd, C., King, R. S., Isaacs, C., & Hays, G. C. (2007). Protracted rainfall decreases temperature within leatherback turtle (Dermochelys coriacea) clutches in Grenada, West Indies: Ecological implications for a species displaying temperature dependent sex determination. Journal of Experimental Marine Biology and Ecology, 345(1), 71-77.",NA,No hatchling sex ratio data,NA,3
"Huang, V., Bowden, R. M., & Crews, D. (2013). Yolk-albumen testosterone in a lizard with temperature-dependent sex determination: Relation with development. General and Comparative Endocrinology, 186, 67-71.",NA,Squamate,NA,2
"Hughes, G. N., Greaves, W. F., & Litzgus, J. D. (2009). Nest-site selection by wood turtles (Glyptemys insculpta) in a thermally limited environment. Northeastern Naturalist, 16(3), 321-338.",NA,No hatchling sex ratio data,NA,2
"Hulbert, A. C., Mitchell, T. S., Hall, J. M., Guiffre, C. M., Douglas, D. C., & Warner, D. A. (2017). The effects of incubation temperature and experimental design on heart rates of lizard embryos. Journal of Experimental Zoology Part A, 327(7), 466-476.",NA,Squamate,NA,1
"Hulin, V., Delmas, V., Girondot, M., Godfrey, M. H., & Guillon, J.-M. (2009). Temperature-dependent sex determination and global change: Are some species at greater risk? Oecologia, 160(3), 493-506.",NA,No new data,NA,21
"Hunter, E. A., Gibbs, J. P., Cayot, L. J., Tapia, W., Quinzin, M. C., Miller, J. M., Caccone, A., & Shoemaker, K. T. (2020). Seeking compromise across competing goals in conservation translocations: The case of the ‘extinct’ Floreana Island Galapagos giant tortoise. Journal of Applied Ecology, 57(1), 136-148.",NA,No hatchling sex ratio data,NA,1
"Inamdar (Doddamani), L. S., Vani, V., & Seshagiri, P. B. (2012). A tropical oviparous lizard, Calotes versicolor, exhibiting a potentially novel FMFM pattern of temperature-dependent sex determination. Journal of Experimental Zoology Part A, 317(1), 32-46.",NA,Squamate,NA,1
"Inamdar, L. S., Khodnapur, B. S., Nindi, R. S., Dasari, S., & Seshagiri, P. B. (2015). Differential expression of estrogen receptor alpha in the embryonic adrenal–kidney–gonadal complex of the oviparous lizard, Calotes versicolor (Daud.). General and Comparative Endocrinology, 220, 55-60.",NA,Squamate,NA,2
"Ischer, T., Ireland, K., & Booth, D. T. (2009). Locomotion performance of green turtle hatchlings from the Heron Island Rookery, Great Barrier Reef. Marine Biology, 156(7), 1399-1409.",NA,No hatchling sex ratio data,NA,3
"Iungman, J. L., & Piña, C. I. (2013). Hypoxia and temperature: Does hypoxia affect caiman embryo differentiation rate or rate of growth only? Journal of Thermal Biology, 38(7), 407-418.",NA,Crocodilian,NA,1
"Iungman, J. L., Molinero, M. N., Simoncini, M. S., & Piña, C. I. (2019). Embryological development of Salvator merianae (Squamata: Teiidae). Genesis, 57(4), e23280.",NA,Squamate,NA,1
"Janes, D. E., & Wayne, M. L. (2006). Evidence for a genotype× environment interaction in sex-determining response to incubation temperature in the leopard gecko, Eublepharis macularius. Herpetologica, 62(1), 56-62.",NA,Squamate,NA,1
"Janes, D. E., Bermudez, D., Guillette, L. J., Jr., & Wayne, M. L. (2007). Estrogens induced male production at a female-producing temperature in a reptile (Leopard Gecko, Eublepharis macularius) with temperature-dependent sex determination. Journal of Herpetology, 41(1), 9-15.",NA,Squamate,NA,1
"Janzen, F. J., & Paukstis, G. L. (1991). A preliminary test of the adaptive significance of environmental sex determination in reptiles. Evolution, 45(2), 435-440.",NA,No hatchling sex ratio data,NA,1
"Janzen, F. J., & Paukstis, G. L. (1991). Environmental sex determination in reptiles: Ecology, evolution, and experimental design. The Quarterly Review of Biology, 66(2), 149-179.",NA,No new data,NA,6
"Janzen, F. J., & Phillips, P. C. (2006). Exploring the evolution of environmental sex determination, especially in reptiles. Journal of Evolutionary Biology, 19(6), 1775-1784.",NA,No hatchling sex ratio data,NA,2
"Janzen, F. J., & Warner, D. A. (2009). Parent–offspring conflict and selection on egg size in turtles. Journal of Evolutionary Biology, 22(11), 2222-2230.",NA,No hatchling sex ratio data,NA,4
"Jensen, M. P., Allen, C. D., Eguchi, T., Bell, I. P., LaCasella, E. L., Hilton, W. A., Hof, C. A. M., & Dutton, P. H. (2018). Environmental warming and feminization of one of the largest sea turtle populations in the world. Current Biology, 28(1), 154-159.",NA,Estimated hatchling sex ratios,NA,2
"Jeyasuria, P., & Place, A. R. (1997). Temperature-dependent aromatase expression in developing diamondback terrapin (Malaclemys terrapin) embryos. Journal of Steroid Biochemistry and Molecular Biology, 61(3-6), 415-425.",NA,No hatchling sex ratio data,NA,3
"Jeyasuria, P., & Place, A. R. (1998). Embryonic brain-gonadal axis in temperature-dependent sex determination of reptiles: A role for P450 aromatase (CYP19). Journal of Experimental Zoology, 281(5), 428-449.",NA,No new data,NA,2
"Ji, X., & Braña, F. (1999). The influence of thermal and hydric environments on embryonic use of energy and nutrients, and hatchling traits, in the wall lizards (Podarcis muralis). Comparative Biochemistry and Physiology Part A, 124(2), 205-213.",NA,Squamate,NA,2
"Ji, X., & Du, W.-G. (2001). Effects of thermal and hydric environments on incubating eggs and hatchling traits in the cobra, Naja naja atra. Journal of Herpetology, 35(2), 186-194.",NA,Squamate,NA,3
"Ji, X., & Du, W.-G. (2001). The effects of thermal and hydric environments on hatching success, embryonic use of energy and hatchling traits in a colubrid snake, Elaphe carinata. Comparative Biochemistry and Physiology Part A, 129(2-3), 461-471.",NA,Squamate,NA,3
"Johnston, C. M., Barnett, M., & Sharpe, P. T. (1995). The molecular biology of temperature-dependent sex determination. Philosophical Transactions of the Royal Society of London B, 350(1333), 297-304.",NA,No hatchling sex ratio data,NA,1
"Kameda, K., Suzuki, K., Kuroyanagi, K., Takase, M., Matsuda, K., & Noda, J. (2019). Comparison of green turtle Chelonia mydas sex ratios at two time-points over 20 years at a foraging ground in Yaeyama Islands, Ryukyu Archipelago, Japan. Endangered Species Research, 38, 127-134.",NA,No hatchling sex ratio data,NA,2
"Kamel, S. J., & Mrosovsky, N. (2005). Repeatability of nesting preferences in the hawksbill sea turtle, Eretmochelys imbricata, and their fitness consequences. Animal Behaviour, 70(4), 819-828.",NA,No hatchling sex ratio data,NA,3
